日付,終値,始値,高値,安値,出来高,変化率 %
2026/6/30,300,305.5,305.6,296.1,28.85M,-0.63%
2026/6/29,301.9,303.2,304.2,299.3,31.68M,0.63%
2026/6/26,300,300,301.2,290.8,44.20M,-0.66%
2026/6/25,302,302.1,307.4,296.8,55.22M,0.33%
2026/6/24,301,307.3,309.9,301,45.16M,-1.34%
2026/6/23,305.1,321.7,321.7,303.7,45.59M,-3.84%
2026/6/22,317.3,324,328.7,315.7,33.58M,-3.20%
2026/6/19,327.8,343,344,327.8,40.16M,-4.43%
2026/6/18,343,343.3,346.3,336.4,31.24M,-1.94%
2026/6/17,349.8,353,354.5,344.4,31.25M,-0.88%
2026/6/16,352.9,361,361.3,349,29.72M,-1.12%
2026/6/15,356.9,347.3,359.5,345.4,37.42M,5.84%
2026/6/12,337.2,335.5,341.5,333.1,32.11M,2.55%
2026/6/11,328.8,321,329.7,317,42.43M,0.74%
2026/6/10,326.4,336.5,336.7,322.4,34.73M,-3.00%
2026/6/9,336.5,346,349.7,335.9,25.77M,-1.55%
2026/6/8,341.8,343.7,346.9,338.5,32.58M,-1.73%
2026/6/5,347.8,353.3,356.4,346.3,28.03M,-1.61%
2026/6/4,353.5,360,361.1,350.5,33.43M,-1.12%
2026/6/3,357.5,358,369.6,356.2,28.38M,-2.22%
2026/6/2,365.6,368.1,369.3,360.7,31.92M,-2.61%
2026/6/1,375.4,395,398.8,366.9,41.67M,-5.39%
2026/5/29,396.8,399,417.3,396.8,66.72M,-0.55%
2026/5/28,399,393,400,382.3,37.08M,2.44%
2026/5/27,389.5,379.3,389.9,378.1,32.56M,2.55%
2026/5/26,379.8,373.9,386.3,371,29.48M,1.52%
2026/5/25,374.1,370.1,377.1,365.6,26.80M,3.23%
2026/5/22,362.4,364.6,369.5,358.6,22.30M,0.39%
2026/5/21,361,358.5,366.6,358,21.67M,1.23%
2026/5/20,356.6,358.7,363.7,350.7,25.62M,-0.14%
2026/5/19,357.1,360.9,363.1,352.9,20.44M,0.39%
2026/5/18,355.7,375,375.8,354.5,37.08M,-5.15%
2026/5/15,375,373.2,384,365.9,57.15M,2.54%
2026/5/14,365.7,372.4,379.6,358,67.06M,0.36%
2026/5/13,364.4,353.4,366.2,349.8,30.65M,4.26%
2026/5/12,349.5,343.1,353,342.6,22.22M,-0.20%
2026/5/11,350.2,344.1,350.7,340.1,23.66M,1.30%
